v_dot_hat,omega_dot_hat,v_dot_measured,omega_dot_measured
0.573954,-0.771397,-3.855882,2.315657
4.195715,-0.439698,5.808879,0.369581
6.665709,-0.956908,5.536831,-0.410393
7.271637,-1.588556,5.934985,-0.563731
5.756772,-0.710698,4.979871,0.738324
2.452872,-1.958720,2.900983,-1.178256
-1.744961,0.030635,-3.096354,1.686664
-5.461772,-0.431687,-3.096354,1.686664
-7.547063,-0.330679,-6.619205,0.032986
-7.188043,1.133351,-6.408138,1.309881
-4.408406,-3.431533,-4.619142,-4.012443
-0.074203,-2.726709,-1.825210,0.683171
4.301645,0.033625,6.014805,2.555913
6.973149,-0.147802,5.765940,-0.106554
6.843138,-1.839709,5.705168,-1.526028
3.858945,0.852849,3.795395,2.348174
-0.879820,-0.190090,-1.618041,-1.018776
-5.368940,-1.197459,-5.206404,-0.994212
-7.615630,-0.501670,-6.660539,0.557616
-6.521926,-0.988760,-5.961746,-0.426914
-2.465003,3.827702,-3.392478,4.407460
2.748375,-0.338443,3.465314,-3.604324
6.541927,-1.190077,5.540661,-0.680145
6.955853,-0.823386,5.821273,0.323783
3.664727,0.592963,3.706486,1.197976
-1.739200,0.199264,-3.030411,-0.461163
-6.336495,1.804010,-5.849949,1.351517
-7.538517,-1.161609,-6.610956,-2.661264
-13.652708,20.104327,-10.576380,19.226065
-11.308692,25.774051,-8.921221,12.878775
-7.363043,18.562456,-6.320901,0.117154
-5.775394,12.261444,-5.288347,-4.681087
-5.541896,8.838863,-5.098510,-3.869089
-5.550107,7.295350,-5.057999,-1.637412
-5.193075,6.207492,-4.812130,-1.279790
-4.542242,4.680820,-4.399605,-3.167529
-3.992884,2.743840,-4.049163,-5.304073
-3.843157,0.971510,-3.935270,-5.431625
-4.091472,-0.009181,-4.059453,-3.068475
-4.503865,0.120932,-4.290175,0.478563
-4.787425,1.162389,-4.454415,3.438633
-4.718122,2.477901,-4.408203,4.351574
-4.246550,3.127799,-4.109488,2.439300
-3.552234,2.380834,-3.665219,-1.775530
-2.957207,0.351908,-3.280447,-6.150491
-2.722777,-2.242832,-3.122553,-8.205848
-2.911355,-4.467273,-3.229198,-7.157152
-3.431202,-5.471701,-3.541771,-3.999286
-4.120484,-5.117797,-3.963850,-0.273362
-4.774966,-3.954985,-4.374306,2.639427
-5.195657,-2.665463,-4.650069,3.801197
-5.281714,-1.767260,-4.724582,2.926540
-5.109432,-1.551821,-4.640583,0.596001
-4.912045,-1.973770,-4.538056,-1.788605
-4.945840,-2.614450,-4.571354,-2.687724
-5.337509,-2.877548,-4.818439,-1.426991
-6.018006,-2.358880,-5.242034,1.455405
-6.748800,-1.070913,-5.700493,4.706358
-7.201581,0.696338,-5.991609,6.955535
-7.095601,2.478932,-5.940808,7.054182
-6.378320,3.532315,-5.516616,4.425969
-5.328462,3.236244,-4.888055,-0.318105
-4.424321,1.808372,-4.342139,-4.998796
-4.025768,0.033651,-4.097841,-7.037184
-4.166050,-1.361287,-4.179548,-5.735988
-4.634640,-1.932630,-4.463329,-2.566662
-5.161796,-1.702942,-4.787860,0.550569
-5.509513,-1.082609,-5.007807,2.241599
-5.539476,-0.600049,-5.035382,1.853285
-5.292462,-0.676370,-4.891828,-0.353043
-4.989505,-1.416636,-4.710375,-3.104863
-4.912134,-2.523497,-4.662837,-4.661981
-5.243849,-3.406708,-4.862906,-3.948750
-5.986698,-3.499318,-5.317757,-1.197013
-6.967260,-2.650076,-5.929952,2.471330
-7.882286,-1.126141,-6.515910,5.754103
-8.385844,0.680747,-6.854623,7.538815
-8.237780,2.323908,-6.789184,7.076281
-7.463801,3.226424,-6.336367,4.265453
-6.404131,3.035958,-5.709152,0.071595
-5.541417,2.054829,-5.201279,-3.472828
-5.190038,0.969519,-5.002963,-4.460149
-5.318216,0.348112,-5.097555,-2.736057
-5.640693,0.390117,-5.314874,0.119735
-5.827677,0.884961,-5.454134,2.204683
-5.665580,1.349088,-5.380009,2.242437
-5.159980,1.253209,-5.087478,-0.044518
-4.546544,0.354908,-4.714720,-3.637349
-4.155979,-1.129335,-4.466082,-6.483049
-4.217846,-2.669466,-4.488583,-6.848782
-4.763895,-3.609071,-4.808606,-4.587277
-5.659423,-3.536795,-5.354473,-0.848157
-6.657589,-2.566787,-5.986758,2.940434
-7.447637,-1.126950,-6.516638,5.608592
-7.755087,0.338870,-6.763990,6.386328
-7.484377,1.421737,-6.655314,5.050642
-6.806956,1.806980,-6.287946,2.173489
-6.093955,1.517481,-5.888568,-0.812481
-5.696447,0.964088,-5.676215,-2.226172
-5.727762,0.665252,-5.728156,-1.310547
