time,x,z,x_dot,z_dot,raw_pitch_rad,raw_pitch_deg,raw_pitch_dot,pitch_rad,pitch_deg,pitch_dot,pitch_ref_rad,pitch_ref_deg,tau_cmd,ctrl_cmd,solve_success
13.067999999998197,-2.9842859823334758,0.28817499511039263,-0.5106331075566732,-9.992288638644475e-05,-1.1619125463575375,-66.57268506958552,0.005351588275320281,1.1619125463575375,66.57268506958552,-0.005351588275320281,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.068999999998196,-2.984796586895859,0.2881748953080577,-0.5105760171225768,-9.968375484938989e-05,-1.161907201360225,-66.57237882379799,0.005338513694122582,1.161907201360225,66.57237882379799,-0.005338513694122582,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.069999999998196,-2.98530713436755,0.2881747957389408,-0.5105189261752479,-9.9456449847166e-05,-1.1619018691156824,-66.57207330869038,0.005326082516009316,1.1619018691156824,66.57207330869038,-0.005326082516009316,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.070999999998195,-2.985817624748042,0.28817469639121696,-0.5104618347255074,-9.92409680979691e-05,-1.1618965489811603,-66.57176848743582,0.005314293438724277,1.1618965489811603,66.57176848743582,-0.005314293438724277,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.071999999998194,-2.986328058036837,0.28817459725306493,-0.5104047427820698,-9.90373054089887e-05,-1.1618912403151953,-66.57146432328118,0.00530314519305775,1.1618912403151953,66.57146432328118,-0.00530314519305775,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.072999999998194,-2.9868384342334444,0.2881744983126681,-0.5103476503517524,-9.884545680496807e-05,-1.161885942477576,-66.57116077954505,0.005292636544336936,1.161885942477576,66.57116077954505,-0.005292636544336936,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.073999999998193,-2.98734875333738,0.2881743995582152,-0.5102905574396597,-9.866541664704239e-05,-1.1618806548293081,-66.57085781961575,0.005282766293717198,1.1618806548293081,66.57085781961575,-0.005282766293717198,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.074999999998193,-2.9878590153481643,0.2881743009779008,-0.5102334640493432,-9.849717874368304e-05,-1.1618753767325776,-66.57055540694923,0.005273533279301034,1.1618753767325776,66.57055540694923,-0.005273533279301034,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.075999999998192,-2.9883692202653203,0.28817420255992593,-0.5101763701829425,-9.834073645249927e-05,-1.1618701075507132,-66.5702535050669,0.005264936377105369,1.1618701075507132,66.5702535050669,-0.005264936377105369,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.076999999998192,-2.988879368088372,0.2881741042924984,-0.5101192758413077,-9.819608277717432e-05,-1.1618648466481487,-66.56995207755354,0.00525697450189858,1.1618648466481487,66.56995207755354,-0.00525697450189858,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.077999999998191,-2.9893894588168446,0.28817400616383326,-0.510062181024107,-9.806321045577303e-05,-1.1618595933903835,-66.5696510880549,0.00524964660792112,1.1618595933903835,66.5696510880549,-0.00524964660792112,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.07899999999819,-2.9898994924502613,0.2881739081621529,-0.5100050857299209,-9.79421120434236e-05,-1.1618543471439422,-66.56935050027552,0.005242951689507572,1.1618543471439422,66.56935050027552,-0.005242951689507572,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.07999999999819,-2.9904094689881444,0.2881738102756871,-0.5099479899563237,-9.783277999078384e-05,-1.1618491072763355,-66.56905027797644,0.0052368887816219125,1.1618491072763355,66.56905027797644,-0.0052368887816219125,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.08099999999819,-2.990919388430013,0.2881737124926734,-0.5098908936999562,-9.773520671500354e-05,-1.1618438731560181,-66.5687503849728,0.005231456960316105,1.1618438731560181,66.5687503849728,-0.005231456960316105,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.081999999998189,-2.991429250775382,0.28817361480135667,-0.5098337969565878,-9.76493846659591e-05,-1.161838644152348,-66.56845078513145,0.0052266553431230675,1.161838644152348,66.56845078513145,-0.0052266553431230675,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.082999999998188,-2.991939056023762,0.2881735171899895,-0.5097766997211718,-9.757530638959616e-05,-1.161833419635545,-66.56815144236865,0.005222483089393711,1.161833419635545,66.56815144236865,-0.005222483089393711,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.083999999998188,-2.9924488041746584,0.2881734196468318,-0.5097196019878931,-9.751296458573988e-05,-1.1618281989766488,-66.5678523206476,0.005218939400583418,1.1618281989766488,66.5678523206476,-0.005218939400583418,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.084999999998187,-2.99295849522757,0.2881733221601506,-0.5096625037502105,-9.74623521614798e-05,-1.1618229815474757,-66.56755338397608,0.005216023520495365,1.1618229815474757,66.56755338397608,-0.005216023520495365,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.085999999998187,-2.9934681291819882,0.28817322471822004,-0.5096054050008929,-9.742346228195354e-05,-1.1618177667205773,-66.56725459640391,0.005213734735487834,1.1618177667205773,66.56725459640391,-0.005213734735487834,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.086999999998186,-2.9939777060373984,0.2881731273093208,-0.5095483057320516,-9.739628841671461e-05,-1.161812553869198,-66.56695592202064,0.005212072374648039,1.161812553869198,66.56695592202064,-0.005212072374648039,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.087999999998186,-2.9944872257932764,0.28817302992174004,-0.5094912059351678,-9.738082438335082e-05,-1.1618073423672306,-66.56665732495298,0.005211035809939369,1.1618073423672306,66.56665732495298,-0.005211035809939369,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.088999999998185,-2.9949966884490897,0.2881729325437708,-0.5094341056011177,-9.737706438763662e-05,-1.1618021315891756,-66.56635876936245,0.0052106244563241986,1.1618021315891756,66.56635876936245,-0.0052106244563241986,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.089999999998184,-2.9955060940042966,0.2881728351637118,-0.5093770047201926,-9.738500306125004e-05,-1.1617969209100962,-66.56606021944282,0.00521083777186657,1.1617969209100962,66.56606021944282,-0.00521083777186657,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.090999999998184,-2.9960154424583445,0.28817273776986685,-0.5093199032821186,-9.74046354969209e-05,-1.1617917097055763,-66.56576163941764,0.0052116752578171876,1.1617917097055763,66.56576163941764,-0.0052116752578171876,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.091999999998183,-2.9965247338106713,0.28817264035054446,-0.5092628012760718,-9.743595728064934e-05,-1.161786497351677,-66.56546299353788,0.005213136458683923,1.161786497351677,66.56546299353788,-0.005213136458683923,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.092999999998183,-2.9970339680607037,0.28817254289405725,-0.5092056986906927,-9.747896452105396e-05,-1.1617812832248926,-66.56516424607929,0.005215220962288447,1.1617812832248926,66.56516424607929,-0.005215220962288447,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.093999999998182,-2.997543145207856,0.28817244538872144,-0.5091485955140982,-9.753365387906749e-05,-1.1617760667021089,-66.56486536134005,0.005217928399814365,1.1617760667021089,66.56486536134005,-0.005217928399814365,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.094999999998182,-2.9980522652515305,0.28817234782285645,-0.5090914917338923,-9.760002259203739e-05,-1.1617708471605581,-66.5645663036382,0.0052212584458442126,1.1617708471605581,66.5645663036382,-0.0052212584458442126,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.095999999998181,-2.998561328191118,0.288172250184784,-0.5090343873371753,-9.767806849906953e-05,-1.1617656239777763,-66.56426703730918,0.005225210818390198,1.1617656239777763,66.56426703730918,-0.005225210818390198,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.09699999999818,-2.999070334025995,0.2881721524628277,-0.5089772823105512,-9.776779006280092e-05,-1.16176039653156,-66.56396752670335,0.005229785278918611,1.16176039653156,66.56396752670335,-0.005229785278918611,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.09799999999818,-2.9995792827555245,0.28817205464531237,-0.508920176640135,-9.786918639042303e-05,-1.161755164199922,-66.56366773618348,0.005234981632369652,1.161755164199922,66.56366773618348,-0.005234981632369652,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.09899999999818,-3.000088174379056,0.28817195672056345,-0.5088630703115582,-9.798225725196139e-05,-1.1617499263610491,-66.5633676301223,0.005240799727171921,1.1617499263610491,66.5633676301223,-0.005240799727171921,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.099999999998179,-3.0005970088959235,0.28817185867690626,-0.5088059633099741,-9.810700309929583e-05,-1.1617446823932578,-66.56306717289995,0.005247239455255899,1.1617446823932578,66.56306717289995,-0.005247239455255899,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.100999999998178,-3.001105785339388,0.2881717607888574,-0.5087469234314012,-9.767091412487822e-05,-1.16173944720618,-66.56276721877543,0.005223240683937126,1.16173944720618,66.56276721877543,-0.005223240683937126,1.3962634015954636,80.0,-0.007360327065363326,0.007360327065363326,1
13.101999999998178,-3.001614502742439,0.2881716633314293,-0.5086878825088041,-9.724577075317639e-05,-1.1617342357000862,-66.56246862147135,0.005199877314161655,1.1617342357000862,66.56246862147135,-0.005199877314161655,1.3962634015954636,80.0,-0.007360327065363326,0.007360327065363326,1
